# Clause and subclause structure of ISO/IEC 39075:2024 (GQL), edition 1.
#
# Unlike features.xml, conditions.xml and the grammar, ISO publishes no
# machine-readable artifact for the document's own structure — and mandatory
# features carry no feature code, so the subclause number is the only handle a
# conformance claim has on them. This file supplies that handle.
#
# It is transcribed from the table of contents in the publicly downloadable
# preview of the standard:
#   https://cdn.standards.iteh.ai/samples/76120/a5695073ca0a485c9929f50970f4c862/ISO-IEC-39075-2024.pdf
# (contents pages iii-xi), which ISO and its resellers publish free of charge.
# Only numbers and titles are reproduced: no normative text of the standard is
# copied here, and none is needed — a corpus cites a subclause, it does not
# quote it.
#
# Format is "number<TAB>title", one per line, in document order. Titles keep
# the standard's own spelling, including the angle brackets it puts around
# syntactic elements, so a report can be read next to the document.
#
# A number in this file is not a promise that gql-compat tests it. It is the
# denominator: the report says how many of these a run actually exercised.

1	Scope
2	Normative references
3	Terms and definitions
3.1	General terms and definitions
3.2	GQL-environment terms and definitions
3.3	GQL-catalog terms and definitions
3.4	Graph terms and definitions
3.5	Procedure and command terms and definitions
3.6	General syntax terms and definitions
3.7	Graph pattern terms and definitions
3.8	Value terms and definitions
3.9	Type terms and definitions
3.10	Temporal terms and definitions
4	Concepts
4.1	Use of terms
4.2	GQL-environments and their components
4.2.1	General description of GQL-environments
4.2.2	GQL-agents
4.2.3	GQL-implementations
4.2.3.1	Introduction to GQL-implementations
4.2.3.2	GQL-clients
4.2.3.3	GQL-servers
4.2.4	Basic security model
4.2.4.1	Principals
4.2.4.2	Authorization identifiers and privileges
4.2.5	GQL-catalog
4.2.5.1	General description of the GQL-catalog
4.2.5.2	GQL-directories
4.2.5.3	GQL-schemas
4.2.6	GQL-data
4.3	GQL-objects
4.3.1	General introduction to GQL-objects
4.3.2	References to GQL-schemas and GQL-objects
4.3.3	Primary objects and secondary objects
4.3.4	Properties and supported property value types
4.3.5	Graphs
4.3.5.1	Introduction to graphs
4.3.5.2	Graph descriptors
4.3.6	Binding tables
4.4	Values
4.4.1	General information about values
4.4.2	Comparable values
4.4.3	Properties of distinct values
4.4.4	Reference values
4.4.5	Material values and the null value
4.5	GQL-sessions
4.5.1	General description of GQL-sessions
4.5.2	Session contexts
4.5.2.1	Introduction to session contexts
4.5.2.2	Session context creation
4.5.2.3	Session context modification
4.6	GQL-transactions
4.6.1	General description of GQL-transactions
4.6.2	Transaction demarcation
4.6.3	Transaction isolation
4.6.4	Encompassing transaction belonging to an external agent
4.7	GQL-requests and GQL-programs
4.7.1	General description of GQL-requests and GQL-programs
4.7.2	GQL-request contexts
4.7.2.1	Introduction to GQL-request contexts
4.7.2.2	GQL-request context creation
4.7.2.3	GQL-request context modification
4.7.3	Execution of GQL-requests
4.7.4	Working schema references
4.7.5	Working graph site
4.7.6	Execution stack
4.7.7	Operations
4.8	Execution contexts
4.8.1	General description of execution contexts
4.8.2	Execution context creation and initialization
4.8.3	Execution context modification
4.8.4	Execution outcomes
4.9	Diagnostic information
4.9.1	Introduction to diagnostic information
4.9.2	GQL-status objects
4.9.3	Conditions
4.10	Procedures and commands
4.10.1	General description of procedures and commands
4.10.2	Procedures
4.10.2.1	General description of procedures
4.10.2.2	Named procedure descriptors
4.10.2.3	Procedure execution
4.10.2.4	Procedures classified by kind of side effects
4.10.3	Commands
4.10.4	GQL-procedures
4.10.4.1	Introduction to GQL-procedures
4.10.4.2	Binding variables and general parameters
4.10.4.3	Statements
4.10.4.4	Statements classified by use of working graph sites
4.10.4.5	Statements classified by function
4.11	Graph pattern matching
4.11.1	Summary of graph pattern matching
4.11.2	Paths
4.11.3	Path patterns
4.11.4	Graph pattern variables
4.11.5	References to graph pattern variables
4.11.6	Path pattern matching
4.11.7	Path modes
4.11.8	Selective path search prefixes
4.11.9	Match modes
4.12	Data types
4.12.1	General introduction to data types and base types
4.12.2	Major classes of data types
4.12.3	Data type descriptors
4.12.4	Naming of data types and base types
4.12.5	Material, nullable, and immaterial data types
4.12.6	Most specific static value type and static base type
4.12.7	Open and closed data types
4.12.8	Additional terminology related to data types
4.13	GQL-object types
